from_node,to_node,from_time,to_time,arc_capacity
437,556,46,49,20.000000
437,556,47,50,20.000000
437,556,48,51,20.000000
437,556,49,52,20.000000
437,556,50,53,20.000000
437,556,51,54,20.000000
437,556,52,55,20.000000
437,556,53,56,20.000000
437,556,54,57,20.000000
437,556,55,58,20.000000
438,437,13,17,20.000000
438,437,14,18,20.000000
438,437,17,21,20.000000
438,437,18,22,20.000000
438,437,19,23,20.000000
438,437,20,24,20.000000
438,437,21,25,20.000000
438,437,22,26,20.000000
438,437,23,27,20.000000
438,437,24,28,20.000000
438,437,25,29,20.000000
438,437,26,30,20.000000
438,437,27,31,20.000000
438,437,29,33,20.000000
438,437,30,34,20.000000
438,437,31,35,20.000000
438,437,37,41,20.000000
438,437,38,42,20.000000
438,437,40,44,20.000000
438,437,41,45,20.000000
438,437,42,46,20.000000
438,437,43,47,20.000000
438,437,44,48,20.000000
438,437,45,49,20.000000
438,437,46,50,20.000000
438,437,47,51,20.000000
438,437,48,52,20.000000
438,437,49,53,20.000000
438,437,50,54,20.000000
438,437,51,55,20.000000
438,439,19,21,20.000000
438,439,25,27,20.000000
438,439,26,28,20.000000
438,535,24,31,20.000000
438,535,27,34,20.000000
438,535,28,35,20.000000
438,535,29,36,20.000000
438,535,30,37,20.000000
438,535,31,38,20.000000
438,540,20,22,20.000000
438,540,4,6,20.000000
439,438,11,13,20.000000
439,438,12,14,20.000000
439,438,15,17,20.000000
439,438,16,18,20.000000
439,438,17,19,20.000000
439,438,18,20,20.000000
439,438,2,4,20.000000
439,438,20,22,20.000000
439,438,21,23,20.000000
439,438,22,24,20.000000
439,438,23,25,20.000000
439,438,25,27,20.000000
439,438,27,29,20.000000
439,438,28,30,20.000000
439,438,29,31,20.000000
439,439,10,11,20.000000
439,439,13,14,20.000000
439,439,14,15,20.000000
439,439,15,16,20.000000
439,439,16,17,20.000000
439,440,18,20,20.000000
439,614,11,13,20.000000
439,614,14,16,20.000000
439,614,16,18,20.000000
439,614,20,22,20.000000
439,614,21,23,20.000000
439,614,26,28,20.000000
44,590,8,9,20.000000
440,439,10,12,20.000000
440,439,13,15,20.000000
440,439,14,16,20.000000
440,439,16,18,20.000000
440,439,19,21,20.000000
440,439,20,22,20.000000
440,439,21,23,20.000000
440,439,23,25,20.000000
440,439,24,26,20.000000
441,440,14,16,20.000000
441,440,17,19,20.000000
441,440,19,21,20.000000
441,440,21,23,20.000000
441,440,22,24,20.000000
441,596,12,13,20.000000
441,596,3,4,20.000000
441,596,6,7,20.000000
449,663,4,5,20.000000
45,45,6,7,20.000000
45,45,7,8,20.000000
45,591,8,9,20.000000
451,452,10,12,20.000000
452,525,11,13,20.000000
452,525,2,4,20.000000
452,525,3,5,20.000000
452,652,10,12,20.000000
452,652,12,14,20.000000
452,652,13,15,20.000000
452,652,16,18,20.000000
453,650,10,13,20.000000
453,650,13,16,20.000000
46,46,5,6,20.000000
46,46,6,7,20.000000
46,46,7,8,20.000000
46,592,8,9,20.000000
47,47,6,7,20.000000
47,47,7,8,20.000000
47,593,8,9,20.000000
475,706,16,19,20.000000
476,477,10,13,20.000000
476,477,13,16,20.000000
476,477,19,22,20.000000
476,705,5,7,20.000000
477,477,24,25,20.000000
477,477,25,26,20.000000
477,478,14,16,20.000000
477,478,15,17,20.000000
477,478,17,19,20.000000
477,478,25,27,20.000000
477,478,26,28,20.000000
477,478,3,5,20.000000
477,478,4,6,20.000000
477,503,11,12,20.000000
477,503,13,14,20.000000
477,503,16,17,20.000000
477,503,20,21,20.000000
477,503,22,23,20.000000
478,479,13,16,20.000000
478,479,16,19,20.000000
478,479,17,20,20.000000
478,479,19,22,20.000000
478,479,27,30,20.000000
478,479,28,31,20.000000
478,633,10,12,20.000000
478,703,3,4,20.000000
478,703,5,6,20.000000
478,703,6,7,20.000000
479,480,10,11,20.000000
479,480,16,17,20.000000
479,480,19,20,20.000000
479,480,20,21,20.000000
479,480,22,23,20.000000
479,480,30,31,20.000000
479,480,31,32,20.000000
48,48,6,7,20.000000
48,48,7,8,20.000000
48,594,8,9,20.000000
480,481,21,22,20.000000
480,481,31,32,20.000000
480,481,32,33,20.000000
480,484,11,13,20.000000
